DATE,CCLACBW027SBOG
2012-10-24,607.3801
2012-10-31,609.7268
2012-11-07,609.2806
2012-11-14,609.4459
2012-11-21,607.9337
2012-11-28,609.3518
2012-12-05,606.5981
2012-12-12,606.1533
2012-12-19,606.4617
2012-12-26,607.3178
2013-01-02,608.4065
2013-01-09,607.2911
2013-01-16,606.1852
2013-01-23,606.8198
2013-01-30,608.7855
2013-02-06,608.0614
2013-02-13,608.2226
2013-02-20,607.6991
2013-02-27,609.4093
2013-03-06,607.7027
2013-03-13,613.2971
2013-03-20,612.5106
2013-03-27,612.4522
2013-04-03,612.3986
2013-04-10,612.0694
2013-04-17,612.3703
2013-04-24,611.8903
2013-05-01,612.123
2013-05-08,612.4001
2013-05-15,612.5737
2013-05-22,613.3582
2013-05-29,614.8778
2013-06-05,614.6924
2013-06-12,615.3296
2013-06-19,615.1892
2013-06-26,615.1543
2013-07-03,613.0957
2013-07-10,613.1929
2013-07-17,612.0245
2013-07-24,610.7297
2013-07-31,610.9863
2013-08-07,611.035
2013-08-14,611.5305
2013-08-21,611.4625
2013-08-28,611.659
2013-09-04,612.424
2013-09-11,611.6263
2013-09-18,611.677
2013-09-25,611.3485
2013-10-02,613.0487
2013-10-09,613.1497
2013-10-16,613.4434
2013-10-23,613.8156
2013-10-30,615.5516
2013-11-06,615.214
2013-11-13,615.6282
2013-11-20,599.1201
2013-11-27,597.7758
2013-12-04,599.4458
2013-12-11,599.8694
2013-12-18,599.6272
2013-12-25,601.0491
2014-01-01,600.0738
2014-01-08,600.5827
2014-01-15,599.3825
2014-01-22,600.0425
2014-01-29,601.3014
2014-02-05,601.4534
2014-02-12,600.895
2014-02-19,602.7956
2014-02-26,603.3597
2014-03-05,603.0309
2014-03-12,603.4891
2014-03-19,604.3745
2014-03-26,604.1487
2014-04-02,603.9773
2014-04-09,604.8803
2014-04-16,606.5831
2014-04-23,607.2655
2014-04-30,608.4063
2014-05-07,608.7884
2014-05-14,610.465
2014-05-21,610.1594
2014-05-28,609.9878
2014-06-04,610.4741
2014-06-11,611.7145
2014-06-18,611.3869
2014-06-25,610.9066
2014-07-02,611.4527
2014-07-09,612.5979
2014-07-16,612.8781
2014-07-23,613.0913
2014-07-30,614.5272
2014-08-06,613.7567
2014-08-13,614.5474
2014-08-20,615.1723
2014-08-27,615.6474
2014-09-03,617.9089
2014-09-10,616.955
2014-09-17,617.5219
2014-09-24,617.2728
2014-10-01,618.6529
2014-10-08,618.0232
2014-10-15,617.9974
2014-10-22,619.0287
2014-10-29,619.3122
2014-11-05,620.0843
2014-11-12,622.2838
2014-11-19,622.6614
2014-11-26,620.8921
2014-12-03,621.0668
2014-12-10,623.0766
2014-12-17,622.3172
2014-12-24,625.1859
2014-12-31,623.4235
2015-01-07,624.5211
2015-01-14,625.7922
2015-01-21,625.8431
2015-01-28,625.7173
2015-02-04,625.6229
2015-02-11,627.3325
2015-02-18,627.4143
2015-02-25,625.442
2015-03-04,626.0563
2015-03-11,626.4609
2015-03-18,626.8278
2015-03-25,627.6763
2015-04-01,630.5444
2015-04-08,631.7306
2015-04-15,631.6501
2015-04-22,632.5246
2015-04-29,633.8395
2015-05-06,634.1614
2015-05-13,634.9745
2015-05-20,634.6789
2015-05-27,634.9938
2015-06-03,634.5442
2015-06-10,636.4693
2015-06-17,636.0472
2015-06-24,638.465
2015-07-01,639.167
2015-07-08,640.1074
2015-07-15,640.1455
2015-07-22,641.4975
2015-07-29,642.7529
2015-08-05,643.9447
2015-08-12,644.8707
2015-08-19,645.7448
2015-08-26,645.5946
2015-09-02,646.6985
2015-09-09,649.2648
2015-09-16,648.871
2015-09-23,648.9786
2015-09-30,651.0252
2015-10-07,652.188
2015-10-14,653.4744
2015-10-21,653.8325
2015-10-28,653.2647
2015-11-04,654.6388
2015-11-11,655.1233
2015-11-18,656.2407
2015-11-25,656.0776
2015-12-02,656.3755
2015-12-09,657.8332
2015-12-16,658.3104
2015-12-23,659.1462
2015-12-30,660.1669
2016-01-06,663.8659
2016-01-13,663.7493
2016-01-20,665.3657
2016-01-27,663.9477
2016-02-03,664.2723
2016-02-10,664.702
2016-02-17,664.8839
2016-02-24,663.8514
2016-03-02,665.3827
2016-03-09,669.6943
2016-03-16,670.3684
2016-03-23,672.1199
2016-03-30,674.3169
2016-04-06,674.0638
2016-04-13,673.4681
2016-04-20,675.6202
2016-04-27,676.2228
2016-05-04,677.3287
2016-05-11,677.4699
2016-05-18,678.4914
2016-05-25,677.4928
2016-06-01,679.3833
2016-06-08,681.3718
2016-06-15,682.5113
2016-06-22,692.4083
2016-06-29,694.1422
2016-07-06,695.9532
2016-07-13,696.4488
2016-07-20,697.7676
2016-07-27,697.6659
2016-08-03,698.5575
2016-08-10,699.5767
2016-08-17,700.2024
2016-08-24,700.841
2016-08-31,700.9575
2016-09-07,702.1308
2016-09-14,702.5939
2016-09-21,703.2998
2016-09-28,703.8154
2016-10-05,705.5708
2016-10-12,705.6661
2016-10-19,706.32
2016-10-26,705.146
2016-11-02,706.1787
2016-11-09,706.3323
2016-11-16,706.1622
2016-11-23,706.9047
2016-11-30,711.458
2016-12-07,711.051
2016-12-14,712.0995
2016-12-21,711.3192
2016-12-28,712.1667
2017-01-04,714.466
2017-01-11,712.9632
2017-01-18,714.9639
2017-01-25,713.2747
2017-02-01,714.8065
2017-02-08,715.5875
2017-02-15,714.875
2017-02-22,715.8287
2017-03-01,716.2851
2017-03-08,716.5532
2017-03-15,716.62
2017-03-22,717.8827
2017-03-29,717.136
2017-04-05,718.1713
2017-04-12,720.0589
2017-04-19,719.6932
2017-04-26,718.4909
2017-05-03,719.4247
2017-05-10,719.3518
2017-05-17,720.0214
2017-05-24,720.9898
2017-05-31,722.2248
2017-06-07,722.1103
2017-06-14,723.2599
2017-06-21,726.048
2017-06-28,726.2168
2017-07-05,728.2475
2017-07-12,728.7024
2017-07-19,728.8926
2017-07-26,728.4091
2017-08-02,728.9651
2017-08-09,730.2008
2017-08-16,729.4928
2017-08-23,730.8735
2017-08-30,731.7586
2017-09-06,733.058
2017-09-13,736.4171
2017-09-20,737.7871
2017-09-27,737.3106
2017-10-04,738.7566
2017-10-11,738.8301
2017-10-18,753.8042
2017-10-25,753.34
2017-11-01,755.7949
2017-11-08,758.7792
2017-11-15,759.169
2017-11-22,760.266
2017-11-29,763.7268
2017-12-06,762.5487
2017-12-13,762.853
2017-12-20,763.2479
2017-12-27,764.0508
2018-01-03,766.9557
2018-01-10,767.7948
2018-01-17,768.9392
2018-01-24,766.9081
2018-01-31,768.8883
2018-02-07,768.5364
2018-02-14,768.9949
2018-02-21,767.927
2018-02-28,768.1151
2018-03-07,770.321
2018-03-14,769.3418
2018-03-21,770.3757
2018-03-28,770.2458
2018-04-04,786.0321
2018-04-11,785.7074
2018-04-18,786.25
2018-04-25,786.3248
2018-05-02,786.5118
2018-05-09,787.7949
2018-05-16,788.3656
2018-05-23,788.9016
2018-05-30,792.3382
2018-06-06,792.1424
2018-06-13,793.3164
2018-06-20,792.8096
2018-06-27,792.948
2018-07-04,793.2822
2018-07-11,791.8176
2018-07-18,792.8374
2018-07-25,793.2638
2018-08-01,792.9946
2018-08-08,795.2997
2018-08-15,795.083
2018-08-22,796.4692
2018-08-29,797.4595
2018-09-05,798.8885
2018-09-12,798.0696
2018-09-19,799.2509
2018-09-26,798.6972
2018-10-03,800.4088
2018-10-10,801.4845
2018-10-17,800.685
2018-10-24,801.8338
2018-10-31,804.4286
2018-11-07,802.8481
2018-11-14,804.8419
2018-11-21,806.104
2018-11-28,809.1348
2018-12-05,806.0217
2018-12-12,806.7564
2018-12-19,804.3374
2018-12-26,806.4367
2019-01-02,806.0533
2019-01-09,808.0384
2019-01-16,806.5449
2019-01-23,808.8166
2019-01-30,812.0672
2019-02-06,811.8624
2019-02-13,811.7973
2019-02-20,812.2538
2019-02-27,814.055
2019-03-06,814.3139
2019-03-13,815.2115
2019-03-20,816.7439
2019-03-27,816.1429
2019-04-03,816.4539
2019-04-10,817.0322
2019-04-17,819.2461
2019-04-24,819.5142
2019-05-01,820.1271
2019-05-08,821.7353
2019-05-15,820.6697
2019-05-22,821.2959
2019-05-29,824.103
2019-06-05,824.4695
2019-06-12,825.6007
2019-06-19,824.2842
2019-06-26,822.7758
2019-07-03,821.9595
2019-07-10,824.2004
2019-07-17,823.6618
2019-07-24,825.1689
2019-07-31,828.4205
2019-08-07,828.8298
2019-08-14,829.4744
2019-08-21,830.4628
2019-08-28,829.6667
2019-09-04,832.3601
2019-09-11,830.2747
2019-09-18,831.4256
2019-09-25,830.8064
2019-10-02,830.4604
2019-10-09,831.0482
2019-10-16,838.9352
2019-10-23,838.9904
2019-10-30,841.4903
2019-11-06,840.6295
2019-11-13,841.6122
2019-11-20,839.9057
2019-11-27,835.7003
2019-12-04,838.8229
2019-12-11,841.6863
2019-12-18,840.1328
2019-12-25,845.3624
2020-01-01,845.6198
2020-01-08,847.236
2020-01-15,845.43
2020-01-22,848.0553
2020-01-29,849.0016
2020-02-05,848.6804
2020-02-12,848.8486
2020-02-19,850.0879
2020-02-26,850.9577
2020-03-04,858.9658
2020-03-11,859.1376
2020-03-18,858.8744
2020-03-25,845.923
2020-04-01,834.5508
2020-04-08,820.3005
2020-04-15,804.0622
2020-04-22,788.9159
2020-04-29,784.5934
2020-05-06,778.7898
2020-05-13,774.712
2020-05-20,770.6334
2020-05-27,766.9579
2020-06-03,765.0285
2020-06-10,765.2801
2020-06-17,762.7502
2020-06-24,761.3876
2020-07-01,758.2778
2020-07-08,760.838
2020-07-15,759.6969
2020-07-22,758.8711
2020-07-29,757.2459
2020-08-05,756.4084
2020-08-12,754.2245
2020-08-19,753.8078
2020-08-26,752.2388
2020-09-02,750.9543
2020-09-09,752.3101
2020-09-16,751.7782
2020-09-23,751.0914
2020-09-30,752.7827
2020-10-07,750.4705
2020-10-14,751.2379
2020-10-21,751.381
2020-10-28,750.4496
2020-11-04,751.1364
2020-11-11,751.4355
2020-11-18,749.0437
2020-11-25,749.6235
2020-12-02,747.2002
2020-12-09,750.0089
2020-12-16,749.862
2020-12-23,750.6163
2020-12-30,747.4055
2021-01-06,747.6217
2021-01-13,745.9553
2021-01-20,746.1105
2021-01-27,744.7572
2021-02-03,743.5994
2021-02-10,744.6052
2021-02-17,745.2567
2021-02-24,744.8676
2021-03-03,746.5368
2021-03-10,746.4619
2021-03-17,745.2013
2021-03-24,742.761
2021-03-31,743.5154
2021-04-07,738.7001
2021-04-14,738.2522
2021-04-21,739.1412
2021-04-28,742.6582
2021-05-05,741.7784
2021-05-12,746.6157
2021-05-19,749.5582
2021-05-26,751.9073
2021-06-02,751.5512
2021-06-09,754.229
2021-06-16,754.4502
2021-06-23,756.7505
2021-06-30,761.1352
2021-07-07,760.4079
2021-07-14,760.6997
2021-07-21,763.2158
2021-07-28,765.0973
2021-08-04,766.8431
2021-08-11,768.4133
2021-08-18,770.7159
2021-08-25,770.3127
2021-09-01,771.1379
2021-09-08,771.1801
2021-09-15,772.0212
2021-09-22,773.2013
2021-09-29,778.3882
2021-10-06,777.3967
2021-10-13,781.2354
2021-10-20,782.2609
2021-10-27,785.5481
2021-11-03,786.0644
2021-11-10,788.7595
2021-11-17,792.2987
2021-11-24,796.2636
2021-12-01,799.5578
2021-12-08,800.6144
2021-12-15,800.9964
2021-12-22,803.8438
2021-12-29,804.4488
2022-01-05,805.5473
2022-01-12,808.5416
2022-01-19,810.1003
2022-01-26,812.1488
2022-02-02,814.3669
2022-02-09,815.4233
2022-02-16,817.0409
2022-02-23,823.0922
2022-03-02,826.5399
2022-03-09,830.1572
2022-03-16,833.8844
2022-03-23,840.0537
2022-03-30,846.9401
2022-04-06,846.4251
2022-04-13,852.7326
2022-04-20,856.0459
2022-04-27,859.5223
2022-05-04,860.0291
2022-05-11,863.5591
2022-05-18,863.9839
2022-05-25,868.1277
2022-06-01,870.4957
2022-06-08,873.8362
2022-06-15,874.9281
2022-06-22,882.9978
2022-06-29,886.2248
2022-07-06,887.9274
2022-07-13,890.0239
2022-07-20,893.3475
2022-07-27,895.3404
2022-08-03,896.7015
2022-08-10,899.0177
2022-08-17,899.8235
2022-08-24,903.8864
2022-08-31,909.0872
2022-09-07,908.8923
2022-09-14,911.7069
2022-09-21,914.3299
2022-09-28,917.1075
2022-10-05,919.1689
2022-10-12,922.5579
2022-10-19,925.2296
2022-10-26,927.7674
2022-11-02,927.9469
2022-11-09,928.5524
2022-11-16,928.5891
2022-11-23,932.4162
