"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2011","2,789.60","2,796.67","2,802.63","2,779.71","562.20M","0.31%"
"03/31/2011","2,781.07","2,774.23","2,783.98","2,769.52","512.95M","0.15%"
"03/30/2011","2,776.79","2,772.36","2,779.95","2,763.77","466.64M","0.72%"
"03/29/2011","2,756.89","2,727.83","2,756.89","2,720.19","410.89M","0.96%"
"03/28/2011","2,730.68","2,752.33","2,754.63","2,730.68","430.30M","-0.45%"
"03/25/2011","2,743.06","2,746.34","2,762.55","2,740.17","471.15M","0.24%"
"03/24/2011","2,736.42","2,715.88","2,740.39","2,703.42","503.13M","1.41%"
"03/23/2011","2,698.30","2,677.56","2,704.30","2,660.17","445.35M","0.54%"
"03/22/2011","2,683.87","2,692.13","2,695.46","2,679.41","423.83M","-0.31%"
"03/21/2011","2,692.09","2,675.47","2,699.70","2,674.99","462.88M","1.83%"
"03/18/2011","2,643.67","2,665.54","2,665.56","2,639.76","957.29M","0.29%"
"03/17/2011","2,636.05","2,656.08","2,660.50","2,634.17","515.47M","0.73%"
"03/16/2011","2,616.82","2,652.92","2,669.27","2,603.50","683.02M","-1.89%"
"03/15/2011","2,667.33","2,619.40","2,680.57","2,618.50","630.41M","-1.25%"
"03/14/2011","2,700.97","2,695.66","2,715.22","2,682.09","467.23M","-0.54%"
"03/11/2011","2,715.61","2,689.65","2,724.61","2,689.41","479.30M","0.54%"
"03/10/2011","2,701.02","2,719.29","2,721.21","2,695.08","635.12M","-1.84%"
"03/09/2011","2,751.72","2,756.34","2,761.77","2,737.68","502.98M","-0.51%"
"03/08/2011","2,765.77","2,745.23","2,775.41","2,729.85","476.58M","0.73%"
"03/07/2011","2,745.63","2,793.19","2,794.82","2,724.51","586.99M","-1.40%"
"03/04/2011","2,784.67","2,797.64","2,798.07","2,768.12","489.53M","-0.50%"
"03/03/2011","2,798.74","2,774.48","2,802.32","2,774.48","503.92M","1.84%"
"03/02/2011","2,748.07","2,735.05","2,763.95","2,734.08","492.07M","0.39%"
"03/01/2011","2,737.41","2,791.08","2,791.23","2,730.72","580.40M","-1.61%"
"02/28/2011","2,782.27","2,791.28","2,798.43","2,767.61","575.72M","0.04%"
"02/25/2011","2,781.05","2,752.16","2,781.12","2,751.81","468.60M","1.58%"
"02/24/2011","2,737.90","2,726.59","2,745.29","2,707.63","539.60M","0.55%"
"02/23/2011","2,722.99","2,755.20","2,761.70","2,705.54","588.49M","-1.21%"
