DATE,STICKCPIM157SFRBATL
2014-01-01,0.144791
2014-02-01,0.151183
2014-03-01,0.208825
2014-04-01,0.214498
2014-05-01,0.179555
2014-06-01,0.172482
2014-07-01,0.177018
2014-08-01,0.118563
2014-09-01,0.161809
2014-10-01,0.187618
2014-11-01,0.18512
2014-12-01,0.121445
2015-01-01,0.161996
2015-02-01,0.149914
2015-03-01,0.213702
2015-04-01,0.26801
2015-05-01,0.190219
2015-06-01,0.212142
2015-07-01,0.180329
2015-08-01,0.143642
2015-09-01,0.267515
2015-10-01,0.252081
2015-11-01,0.213377
2015-12-01,0.14735
2016-01-01,0.204903
2016-02-01,0.210409
2016-03-01,0.205658
2016-04-01,0.275271
2016-05-01,0.215751
2016-06-01,0.210509
2016-07-01,0.200077
2016-08-01,0.273048
2016-09-01,0.160794
2016-10-01,0.135409
2016-11-01,0.221278
2016-12-01,0.21493
2017-01-01,0.26537
2017-02-01,0.22283
2017-03-01,0.00814
2017-04-01,0.09682
2017-05-01,0.1232
2017-06-01,0.18347
2017-07-01,0.20588
2017-08-01,0.23121
2017-09-01,0.18804
2017-10-01,0.20977
2017-11-01,0.16286
2017-12-01,0.23023
2018-01-01,0.29742
2018-02-01,0.19835
2018-03-01,0.21385
2018-04-01,0.2085
2018-05-01,0.18207
2018-06-01,0.20634
2018-07-01,0.16956
2018-08-01,0.14201
2018-09-01,0.21088
2018-10-01,0.16682
2018-11-01,0.22662
2018-12-01,0.23359
2019-01-01,0.22655
2019-02-01,0.19951
2019-03-01,0.237
2019-04-01,0.21776
2019-05-01,0.16782
2019-06-01,0.23751
2019-07-01,0.21664
2019-08-01,0.29399
2019-09-01,0.18711
2019-10-01,0.28237
2019-11-01,0.24022
2019-12-01,0.20579
2020-01-01,0.27753
2020-02-01,0.20368
2020-03-01,0.09566
2020-04-01,-0.16208
2020-05-01,0.06047
2020-06-01,0.22956
2020-07-01,0.48765
2020-08-01,0.24904
2020-09-01,0.02761
2020-10-01,0.08769
2020-11-01,0.2072
2020-12-01,0.1382
2021-01-01,0.09347
2021-02-01,0.19201
2021-03-01,0.25166
2021-04-01,0.34195
2021-05-01,0.38918
2021-06-01,0.22047
2021-07-01,0.28125
2021-08-01,0.28749
2021-09-01,0.29049
2021-10-01,0.47729
2021-11-01,0.40067
2021-12-01,0.396
2022-01-01,0.56442
2022-02-01,0.51339
2022-03-01,0.48654
2022-04-01,0.50792
2022-05-01,0.63407
2022-06-01,0.61165
2022-07-01,0.44693
2022-08-01,0.63642
2022-09-01,0.66168
2022-10-01,0.46781
2022-11-01,0.4892
2022-12-01,0.50933
2023-01-01,0.506749423
2023-02-01,0.550845545
2023-03-01,0.383313675
